COUNTRY;ISO3;WHO_REGION;DATA_SOURCE;DATE_UPDATED;TOTAL_VACCINATIONS;PERSONS_VACCINATED_1PLUS_DOSE;TOTAL_VACCINATIONS_PER100;PERSONS_VACCINATED_1PLUS_DOSE_PER100;PERSONS_LAST_DOSE;PERSONS_LAST_DOSE_PER100;VACCINES_USED;FIRST_VACCINE_DATE;NUMBER_VACCINES_TYPES_USED;PERSONS_BOOSTER_ADD_DOSE;PERSONS_BOOSTER_ADD_DOSE_PER100;
Bhutan;BTN;SEARO;REPORTING;30/10/2022;2011426;699116;261;91;677669;88;;27/03/2021;;634641;82;
Namibia;NAM;AFRO;REPORTING;12/11/2023;1005937;629767;40;25;550978;22;;19/03/2021;;298560;12;
Iran (Islamic Republic of);IRN;EMRO;REPORTING;26/11/2023;1.55E+08;6.52E+07;185;78;5.86E+07;70;;09/02/2021;;3.14E+07;37;
Kenya;KEN;AFRO;REPORTING;02/04/2023;2.38E+07;1.45E+07;44;27;1.11E+07;21;;05/03/2021;;2000636;4;
Greenland;GRL;EURO;REPORTING;;;;;;;;;;;;;
Comoros;COM;AFRO;REPORTING;02/10/2022;835021;438825;96;50;397080;46;;10/04/2021;;;;
Mozambique;MOZ;AFRO;REPORTING;02/07/2023;3.50E+07;2.29E+07;112;73;2.13E+07;68;;08/03/2021;;2323562;7;
Viet Nam;VNM;WPRO;REPORTING;30/06/2023;2.66E+08;9.05E+07;274;93;8.60E+07;88;;08/03/2021;;5.80E+07;60;
India;IND;SEARO;REPORTING;23/11/2023;2.21E+09;1.03E+09;160;74;9.52E+08;69;;16/01/2021;;2.29E+08;17;
Bulgaria;BGR;EURO;REPORTING;24/09/2023;4618931;2108544;66;30;2080324;30;;30/12/2020;;833135;12;
Malaysia;MYS;WPRO;REPORTING;26/10/2023;7.27E+07;2.81E+07;224;87;2.76E+07;85;;24/02/2021;;1.63E+07;51;
Venezuela (Bolivarian Republic of);VEN;AMRO;REPORTING;02/06/2023;3.79E+07;2.22E+07;133;78;1.43E+07;50;;22/02/2021;;651502;2;
Bahamas;BHS;AMRO;REPORTING;02/06/2023;366359;174810;93;44;166972;42;;14/03/2021;;33717;9;
Georgia;GEO;EURO;REPORTING;28/05/2023;2739270;1300867;69;33;1187212;30;;17/03/2021;;251191;6;
Somalia;SOM;EMRO;REPORTING;25/07/2023;1.06E+07;8972167;66;56;7666835;48;;16/03/2021;;28134;;
Maldives;MDV;SEARO;REPORTING;25/05/2023;951764;399308;176;74;385167;71;;01/02/2021;;167289;31;
Ecuador;ECU;AMRO;REPORTING;24/03/2023;3.96E+07;1.48E+07;224;84;1.42E+07;81;;20/01/2021;;7732930;44;
Kyrgyzstan;KGZ;EURO;REPORTING;18/06/2023;3167393;1528725;49;23;1337850;21;;31/03/2021;;300818;5;
Tuvalu;TUV;WPRO;REPORTING;01/02/2023;26783;9763;227;83;9505;81;;13/04/2021;;5745;49;
United Arab Emirates;ARE;EMRO;REPORTING;06/07/2022;2.49E+07;9991089;252;100;9792266;99;;;;5138699;52;
Burkina Faso;BFA;AFRO;REPORTING;23/07/2023;7893609;6089089;38;29;5232347;25;;02/06/2021;;4056;;
Sweden;SWE;EURO;REPORTING;01/10/2023;2.32E+07;7564745;225;73;7404465;72;;23/12/2020;;5542831;54;
Rwanda;RWA;AFRO;REPORTING;04/06/2023;2.73E+07;1.09E+07;211;84;1.04E+07;80;;05/03/2021;;5879013;45;
Malawi;MWI;AFRO;REPORTING;24/09/2023;8503954;5433538;44;28;4288014;22;;11/03/2021;;1232829;6;
Haiti;HTI;AMRO;REPORTING;16/06/2023;669130;521396;6;5;355379;3;;;;;;
Luxembourg;LUX;EURO;REPORTING;01/10/2023;1337942;469286;214;75;462732;74;;30/12/2020;;368526;59;
South Africa;ZAF;AFRO;REPORTING;24/09/2023;4.18E+07;2.42E+07;70;41;2.10E+07;35;;17/02/2021;;4410601;7;
Norway;NOR;EURO;REPORTING;03/09/2023;1.23E+07;4347197;230;81;4062204;76;;23/12/2020;;3020434;56;
Nauru;NRU;WPRO;REPORTING;20/02/2023;32157;13106;297;100;11346;100;;09/04/2021;;7705;71;
Finland;FIN;EURO;REPORTING;01/10/2023;1.33E+07;4547671;240;82;4365148;79;;23/12/2020;;3088731;56;
North Macedonia;MKD;EURO;REPORTING;07/05/2023;1862987;854570;89;41;838181;40;;17/02/2021;;161633;8;
Benin;BEN;AFRO;REPORTING;18/12/2022;4232541;3697190;35;30;2742837;23;;29/03/2021;;;;
Honduras;HND;AMRO;REPORTING;11/08/2023;1.71E+07;6596213;172;67;5853689;59;;22/02/2021;;4872295;49;
Suriname;SUR;AMRO;REPORTING;02/06/2023;554588;267820;95;46;237879;41;;23/02/2021;;48889;8;
Saint Kitts and Nevis;KNA;AMRO;REPORTING;02/06/2023;64297;33794;121;64;27000;51;;22/02/2021;;3465;7;
Democratic Republic of the Congo;COD;AFRO;REPORTING;04/06/2023;1.88E+07;1.70E+07;21;19;1.44E+07;16;;19/04/2021;;;;
Denmark;DNK;EURO;REPORTING;01/10/2023;1.51E+07;5289049;260;91;4779951;82;;16/12/2020;;3664722;63;
Pakistan;PAK;EMRO;REPORTING;14/11/2023;3.41E+08;1.66E+08;154;75;1.40E+08;64;;03/02/2021;;5.32E+07;24;
Anguilla;AIA;AMRO;REPORTING;20/10/2023;24864;10858;166;72;10382;69;;05/02/2021;;3231;22;
Grenada;GRD;AMRO;REPORTING;02/06/2023;90686;44241;81;39;39034;35;;15/02/2021;;7411;7;
Sri Lanka;LKA;SEARO;REPORTING;30/10/2022;4.01E+07;1.71E+07;187;80;1.48E+07;69;;29/01/2021;;8220002;38;
Sierra Leone;SLE;AFRO;REPORTING;30/07/2023;9155936;5676123;115;71;4961886;62;;15/03/2021;;1201709;15;
Vanuatu;VUT;WPRO;REPORTING;20/02/2023;355430;176624;116;58;162250;53;;02/06/2021;;16556;5;
Liberia;LBR;AFRO;REPORTING;11/12/2022;4460668;3903802;88;77;3730967;74;;01/04/2021;;1987;;
Antigua and Barbuda;ATG;AMRO;REPORTING;02/06/2023;136512;64290;139;66;62384;64;;01/03/2021;;9838;10;
Australia;AUS;WPRO;REPORTING;05/10/2023;6.88E+07;2.24E+07;270;88;2.18E+07;85;;21/02/2021;;1.44E+07;56;
Singapore;SGP;WPRO;REPORTING;29/08/2023;1.53E+07;5287005;262;90;5248693;90;;30/12/2020;;4769158;82;
Botswana;BWA;AFRO;REPORTING;07/05/2023;3171667;1951054;135;83;1663490;71;;26/03/2021;;507654;22;
Portugal;PRT;EURO;REPORTING;01/10/2023;2.79E+07;9822021;271;95;8910340;87;;23/12/2020;;7086988;69;
Myanmar;MMR;SEARO;REPORTING;21/08/2023;9.35E+07;4.16E+07;172;76;3.59E+07;66;;27/01/2021;;1.60E+07;29;
Senegal;SEN;AFRO;REPORTING;12/11/2023;3179647;2684696;19;16;1546628;9;;23/02/2021;;815965;5;
Dominica;DMA;AMRO;REPORTING;02/06/2023;67647;32995;94;46;30659;43;;12/02/2021;;3993;6;
New Caledonia;NCL;WPRO;REPORTING;03/04/2023;480497;192371;168;67;184801;65;;20/01/2021;;103325;36;
Nicaragua;NIC;AMRO;REPORTING;11/08/2023;1.55E+07;6404524;234;97;6126708;92;;03/03/2021;;2892531;44;
Indonesia;IDN;SEARO;REPORTING;23/11/2023;4.48E+08;2.04E+08;164;75;1.75E+08;64;;13/01/2021;;6.94E+07;25;
French Polynesia;PYF;WPRO;REPORTING;17/07/2023;493692;195688;176;70;195688;70;;18/01/2021;;102317;36;
Iceland;ISL;EURO;REPORTING;16/04/2023;869976;307269;239;84;297921;82;;30/12/2020;;254556;70;
Jamaica;JAM;AMRO;REPORTING;06/10/2023;1528445;722248;52;24;760132;26;;10/03/2021;;46065;2;
Turkmenistan;TKM;EURO;REPORTING;06/08/2023;1.68E+07;4614869;278;77;4568901;76;;24/02/2021;;3816400;63;
Tokelau;TKL;WPRO;REPORTING;05/12/2022;6342;2203;470;100;2203;100;;20/07/2021;;968;72;
San Marino;SMR;EURO;REPORTING;22/05/2022;69338;26357;204;78;23633;70;;24/02/2021;;19348;57;
Kiribati;KIR;WPRO;REPORTING;06/02/2023;219980;100900;184;84;81474;68;;26/05/2021;;37606;31;
Poland;POL;EURO;REPORTING;01/10/2023;5.82E+07;2.30E+07;153;61;2.27E+07;60;;23/12/2020;;1.25E+07;33;
Lithuania;LTU;EURO;REPORTING;01/10/2023;4532726;1956489;162;70;1907062;68;;23/12/2020;;902114;32;
Lesotho;LSO;AFRO;REPORTING;19/03/2023;1339097;1014073;63;47;938088;44;;10/03/2021;;177816;8;
China;CHN;WPRO;REPORTING;20/04/2023;3.52E+09;1.32E+09;239;90;1.28E+09;87;;22/07/2020;;8.34E+08;57;
Bolivia (Plurinational State of);BOL;AMRO;REPORTING;25/08/2023;1.61E+07;6506721;138;56;6307628;54;;30/01/2021;;2521192;22;
Latvia;LVA;EURO;REPORTING;13/08/2023;2979624;1344386;156;70;1304787;68;;30/12/2020;;550901;29;
Seychelles;SYC;AFRO;REPORTING;09/04/2023;224558;88520;228;90;83565;85;;10/01/2021;;44936;46;
Monaco;MCO;EURO;REPORTING;04/12/2022;71027;28875;181;74;24933;64;;30/06/2021;;17806;45;
Albania;ALB;EURO;REPORTING;10/09/2023;3088966;1349255;107;47;1279333;44;;13/01/2021;;402371;14;
Chile;CHL;AMRO;REPORTING;17/11/2023;6.69E+07;1.75E+07;350;92;1.77E+07;93;;21/12/2020;;1.58E+07;83;
Kuwait;KWT;EMRO;REPORTING;26/11/2023;8261221;3457498;193;81;3346176;78;;28/12/2020;;1457547;34;
Belize;BLZ;AMRO;REPORTING;06/10/2023;511002;236221;129;59;221454;56;;01/03/2021;;53189;13;
South Sudan;SSD;AFRO;REPORTING;01/10/2023;4365547;4315127;39;39;4273253;38;;06/04/2021;;513122;5;
Bermuda;BMU;AMRO;REPORTING;11/08/2023;136759;48554;220;78;47657;77;;11/01/2021;;32016;51;
Cabo Verde;CPV;AFRO;REPORTING;25/09/2022;859940;356734;155;64;308720;56;;18/03/2021;;749;;
Costa Rica;CRI;AMRO;REPORTING;06/10/2023;1.36E+07;4650636;267;91;4369784;86;;24/12/2020;;2986527;59;
Panama;PAN;AMRO;REPORTING;06/10/2023;9169341;3746041;213;87;3175368;74;;20/01/2021;;1770362;41;
Bosnia and Herzegovina;BIH;EURO;REPORTING;29/01/2022;1924950;943394;59;29;846080;26;;;;;;
Serbia;SRB;EURO;REPORTING;05/03/2023;6722671;3398116;97;49;3324555;48;;23/12/2020;;;;
Cook Islands;COK;WPRO;REPORTING;31/01/2023;40080;15112;228;86;14728;84;;17/05/2021;;10240;58;
Cuba;CUB;AMRO;REPORTING;17/11/2023;3.82E+07;9916126;337;88;1.00E+07;89;;;;8778841;78;
Libya;LBY;EMRO;REPORTING;16/01/2023;3739158;2316327;54;34;1236102;18;;11/04/2021;;186729;3;
Fiji;FJI;WPRO;REPORTING;29/06/2023;1555182;712025;173;79;641194;72;;07/03/2021;;172078;19;
United Republic of Tanzania;TZA;AFRO;REPORTING;12/03/2023;3.94E+07;3.44E+07;66;58;3.22E+07;54;;28/07/2021;;;;
Dominican Republic;DOM;AMRO;REPORTING;17/11/2023;1.64E+07;7360900;151;68;6126215;56;;16/02/2021;;2571636;24;
Aruba;ABW;AMRO;REPORTING;17/11/2023;217070;90493;203;85;84349;79;;17/02/2021;;35659;33;
Croatia;HRV;EURO;REPORTING;01/10/2023;5435966;2320278;134;57;2246622;55;;23/12/2020;;996098;25;
Ethiopia;ETH;AFRO;REPORTING;28/05/2023;6.89E+07;5.25E+07;60;46;4.37E+07;38;;13/03/2021;;5978070;5;
Togo;TGO;AFRO;REPORTING;19/11/2023;3423181;2255579;41;27;1554066;19;;10/03/2021;;427804;5;
Eswatini;SWZ;AFRO;REPORTING;04/06/2023;870205;526050;75;45;427335;37;;19/03/2021;;179450;15;
Guinea;GIN;AFRO;REPORTING;24/09/2023;1.20E+07;8715641;92;66;5853990;45;;05/03/2021;;425378;3;
Cyprus;CYP;EURO;REPORTING;17/09/2023;1858992;669230;209;75;656139;74;;23/12/2020;;487409;55;
Papua New Guinea;PNG;WPRO;REPORTING;05/11/2023;540974;396922;6;4;335728;4;;30/03/2021;;37105;;
Ghana;GHA;AFRO;REPORTING;02/07/2023;2.56E+07;1.39E+07;82;45;1.08E+07;35;;02/03/2021;;4806017;15;
Hungary;HUN;EURO;REPORTING;01/10/2023;1.66E+07;6358690;170;65;6152042;63;;23/12/2020;;3868705;40;
Nepal;NPL;SEARO;REPORTING;23/11/2023;6.26E+07;2.79E+07;215;96;2.45E+07;84;;27/01/2021;;1.03E+07;35;
Saint Vincent and the Grenadines;VCT;AMRO;REPORTING;02/06/2023;73443;37532;66;34;31632;29;;01/02/2021;;4279;4;
Timor-Leste;TLS;SEARO;REPORTING;22/11/2023;2028798;886838;154;67;801759;61;;07/04/2021;;340201;26;
Brunei Darussalam;BRN;WPRO;REPORTING;30/06/2023;1293100;451149;296;100;446714;100;;03/04/2021;;340466;78;
Algeria;DZA;AFRO;REPORTING;04/09/2022;1.53E+07;7840131;35;18;6481186;15;;30/01/2021;;575651;1;
Russian Federation;RUS;EURO;REPORTING;27/09/2023;1.87E+08;8.91E+07;128;61;7.97E+07;55;;;;;;
Jordan;JOR;EMRO;REPORTING;21/08/2022;1.01E+07;4821579;99;47;4558313;45;;13/01/2021;;682211;7;
Montserrat;MSR;AMRO;REPORTING;02/06/2023;4619;2104;92;42;1952;39;;08/02/2021;;563;11;
British Virgin Islands;VGB;AMRO;REPORTING;02/06/2023;41453;19466;137;64;18261;60;;11/02/2021;;3726;12;
Ukraine;UKR;EURO;REPORTING;27/02/2022;3.17E+07;1.58E+07;72;36;1.52E+07;35;;24/02/2021;;741197;2;
Azerbaijan;AZE;EURO;REPORTING;24/09/2023;1.38E+07;5436662;136;54;4888112;48;;20/01/2021;;3504588;35;
Philippines;PHL;WPRO;REPORTING;19/03/2023;1.89E+08;8.27E+07;173;75;7.84E+07;72;;01/03/2021;;2.38E+07;22;
Chad;TCD;AFRO;REPORTING;19/11/2023;9148883;5146338;56;31;5019031;31;;04/06/2021;;4042573;25;
Cameroon;CMR;AFRO;REPORTING;15/10/2023;4880572;3753733;18;14;3197286;12;;12/04/2021;;803560;3;
Kosovo (in accordance with UN Security Council resolution 1244 (1999));XKX;EURO;REPORTING;15/01/2023;1836901;904558;102;50;824752;46;;31/03/2021;;105624;6;
Zambia;ZMB;AFRO;REPORTING;25/06/2023;1.36E+07;1.17E+07;74;64;9155551;50;;14/04/2021;;1414619;8;
Belarus;BLR;EURO;REPORTING;03/09/2023;2.25E+07;6536392;238;69;6414996;68;;03/02/2021;;5720777;61;
Congo;COG;AFRO;REPORTING;31/07/2022;833210;695760;15;13;654119;12;;23/03/2021;;;;
Nigeria;NGA;AFRO;REPORTING;05/11/2023;1.33E+08;9.38E+07;65;46;8.13E+07;39;;05/03/2021;;1.68E+07;8;
